company_id,company_name,legal_name,industry_primary,industry_secondary,country_code,state_province,city,founded_year,employee_count,revenue_range,website,description,business_model,competitive_position,key_risks,esg_score,base_currency_code,industry_id,created_date,last_modified_date,data_quality_score,CRM_COMPANY_ID,CANONICAL_COMPANY_ID
COMP-001,TechFlow Solutions,TechFlow Solutions Inc.,Technology,Software,US,CA,San Francisco,2018,245,25-50M,www.techflowsolutions.com,Leading SaaS platform for supply chain optimization serving mid-market manufacturers,B2B SaaS,Market Leader,Customer concentration,85,USD,IND-TECH-001,2023-11-20,2024-01-15,92,COMP-001,1b7e4e75-1006-5beb-8b57-0d630d04fcc0
COMP-002,MedDevice Innovations,MedDevice Innovations Ltd.,Healthcare,Medical Devices,UK,,London,2015,180,15-25M,www.meddeviceinnovations.co.uk,Specialized manufacturer of cardiac monitoring devices with FDA and CE approvals,B2B Product,Strong Position,Regulatory changes,78,GBP,IND-HLTH-001,2023-10-05,2024-01-22,88,COMP-002,973f92be-30df-5eef-b690-8123b249c8c3
COMP-003,GreenEnergy Corp,GreenEnergy Corporation S.A.,Energy,Renewable Energy,DE,,Berlin,2019,320,35-50M,www.greenenergycorp.de,Developer and operator of wind and solar energy projects across Europe,Project Development,Growing,Policy changes,92,EUR,IND-ENRG-001,2024-01-10,2024-01-25,85,COMP-003,96b79e55-a99d-5954-b01e-b6dec2de3bd3
COMP-004,RetailMax Holdings,RetailMax Holdings LLC,Consumer,Retail,US,TX,Dallas,2008,1250,100-250M,www.retailmaxholdings.com,Multi-brand retail chain operating 150+ stores across southwestern United States,B2C Retail,Established,E-commerce disruption,72,USD,IND-CONS-001,2023-09-15,2024-01-20,90,COMP-004,26564e00-966c-539c-be45-3832d0ed274b
COMP-005,FinTech Innovations,FinTech Innovations Pte Ltd,Financial Services,FinTech,SG,,Singapore,2021,85,5-10M,www.fintechinnovations.sg,Digital banking platform providing SME lending and cash management solutions,B2B FinTech,Emerging,Regulatory uncertainty,80,SGD,IND-FINS-001,2024-01-05,2024-01-28,75,COMP-005,82cf8fd0-6e26-5ae8-81f1-093a1228edf1
COMP-006,Industrial Solutions Ltd,Industrial Solutions Limited,Industrials,Aerospace,UK,,Manchester,2012,420,20-35M,www.industrialsolutions.co.uk,Precision manufacturing services for aerospace and defense contractors,B2B Manufacturing,Niche Leader,Defense spending,70,2023-12-01,2024-01-18,87,,,COMP-006,1d6a372f-fcb3-5257-af52-998e72f6d931
COMP-007,EduTech Platform,EduTech Platform Inc.,Education,EdTech,US,MA,Boston,2020,95,,www.edutechplatform.com,K-12 online learning platform with adaptive curriculum technology,B2B2C SaaS,Challenger,Market saturation,88,2023-08-20,2024-01-30,65,,,COMP-007,c9c6b300-116b-5456-85d1-5ae9dc32aed1
COMP-008,LogiCorp International,LogiCorp International Inc.,Transportation,Logistics,US,IL,Chicago,2005,2100,150-300M,www.logicorpintl.com,Third-party logistics provider with nationwide warehouse and distribution network,B2B Services,Market Leader,Labor costs,75,2023-07-10,2024-01-25,94,,,COMP-008,756dd9e3-1b56-5a38-a227-d40fb998786d
COMP-009,BioTech Ventures,BioTech Ventures Inc.,Healthcare,Biotechnology,US,MA,Cambridge,2017,125,10-25M,www.biotechventures.com,AI-powered drug discovery platform focusing on oncology therapeutics,B2B Platform,Innovation Leader,Clinical trial risks,85,2023-12-15,2024-01-22,82,,,COMP-009,d5ba9f32-68b9-53c5-bfec-2a9484ef7349
COMP-010,Energy Services Co,Energy Services Company LLC,Energy,Oilfield Services,US,TX,Houston,2010,850,50-100M,www.energyservicesco.com,Oilfield services provider offering drilling and completion services,B2B Services,Cyclical Player,Commodity prices,65,2023-11-30,2024-01-20,78,,,COMP-010,07976834-dbcd-5387-84e9-53066f747b27
COMP-011,CloudSoft Systems,CloudSoft Systems Corporation,Technology,Enterprise Software,US,WA,Seattle,2016,310,40-75M,www.cloudsoftsystems.com,Enterprise cloud migration and management software platform,B2B SaaS,Strong Position,Technology disruption,82,2023-10-25,2024-01-24,91,,,COMP-011,a6d960ae-207a-5567-8d2b-2c73693d9b71
COMP-012,European Pharma,European Pharma S.A.,Healthcare,Pharmaceuticals,FR,,Lyon,2011,680,75-150M,www.europeanpharma.fr,Specialty pharmaceutical manufacturer focusing on rare disease treatments,B2B Product,Niche Leader,Patent expiry,79,2023-09-05,2024-01-15,89,,,COMP-012,8ca3f80b-7698-5490-a630-c66ae12ce9e4
COMP-013,AgriTech Solutions,AgriTech Solutions Inc.,Agriculture,AgTech,US,IA,Des Moines,2019,155,15-30M,www.agritechsolutions.com,Precision agriculture platform using IoT sensors and data analytics,B2B Technology,Innovation Leader,Weather dependency,90,2023-11-10,2024-01-26,86,,,COMP-013,e29cd83f-31f0-5d42-8b85-b50fd02891d8
COMP-014,Manufacturing Division,Automotive Manufacturing Division,Industrials,Automotive,JP,,Osaka,1995,1850,200-500M,,Automotive parts manufacturing division of larger industrial conglomerate,B2B Manufacturing,Established,Supply chain disruption,68,2024-01-08,2024-01-29,72,,,COMP-014,c9b8e480-7125-518a-911a-a567d2cb2f5d
COMP-015,Real Estate Fund,Commercial Real Estate Development Fund LP,Real Estate,Commercial Development,US,NY,New York,2013,45,Asset-based,,Commercial real estate development fund focusing on office and mixed-use projects,Fund Management,Established,Interest rate risk,70,2023-12-20,2024-01-23,80,,,COMP-015,3c118b09-3575-5356-a408-d100c18571cf
