SOURCE_SYSTEM,ENTITY_TYPE,SOURCE_ID,CANONICAL_ID,COMPANY_NAME,LEGAL_NAME,CREATED_DATE,LAST_MODIFIED_DATE
CRM,COMPANY,COMP-001,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,TechFlow Solutions,TechFlow Solutions Inc.,2023-11-20,2024-01-15
CRM,COMPANY,COMP-002,973f92be-30df-5eef-b690-8123b249c8c3,MedDevice Innovations,MedDevice Innovations Ltd.,2023-10-05,2024-01-22
CRM,COMPANY,COMP-003,96b79e55-a99d-5954-b01e-b6dec2de3bd3,GreenEnergy Corp,GreenEnergy Corporation S.A.,2024-01-10,2024-01-25
CRM,COMPANY,COMP-004,26564e00-966c-539c-be45-3832d0ed274b,RetailMax Holdings,RetailMax Holdings LLC,2023-09-15,2024-01-20
CRM,COMPANY,COMP-005,82cf8fd0-6e26-5ae8-81f1-093a1228edf1,FinTech Innovations,FinTech Innovations Pte Ltd,2024-01-05,2024-01-28
CRM,COMPANY,COMP-006,1d6a372f-fcb3-5257-af52-998e72f6d931,Industrial Solutions Ltd,Industrial Solutions Limited,87,
CRM,COMPANY,COMP-007,c9c6b300-116b-5456-85d1-5ae9dc32aed1,EduTech Platform,EduTech Platform Inc.,65,
CRM,COMPANY,COMP-008,756dd9e3-1b56-5a38-a227-d40fb998786d,LogiCorp International,LogiCorp International Inc.,94,
CRM,COMPANY,COMP-009,d5ba9f32-68b9-53c5-bfec-2a9484ef7349,BioTech Ventures,BioTech Ventures Inc.,82,
CRM,COMPANY,COMP-010,07976834-dbcd-5387-84e9-53066f747b27,Energy Services Co,Energy Services Company LLC,78,
CRM,COMPANY,COMP-011,a6d960ae-207a-5567-8d2b-2c73693d9b71,CloudSoft Systems,CloudSoft Systems Corporation,91,
CRM,COMPANY,COMP-012,8ca3f80b-7698-5490-a630-c66ae12ce9e4,European Pharma,European Pharma S.A.,89,
CRM,COMPANY,COMP-013,e29cd83f-31f0-5d42-8b85-b50fd02891d8,AgriTech Solutions,AgriTech Solutions Inc.,86,
CRM,COMPANY,COMP-014,c9b8e480-7125-518a-911a-a567d2cb2f5d,Manufacturing Division,Automotive Manufacturing Division,72,
CRM,COMPANY,COMP-015,3c118b09-3575-5356-a408-d100c18571cf,Real Estate Fund,Commercial Real Estate Development Fund LP,80,
PM,COMPANY,COMP-001,1b7e4e75-1006-5beb-8b57-0d630d04fcc0,TechFlow Solutions,,2022-08-01,2024-01-15
PM,COMPANY,COMP-004,26564e00-966c-539c-be45-3832d0ed274b,RetailMax Holdings,,2022-11-01,2024-01-20
PM,COMPANY,COMP-011,a6d960ae-207a-5567-8d2b-2c73693d9b71,CloudSoft Systems,,2023-04-25,2024-01-24
PM,COMPANY,COMP-002,973f92be-30df-5eef-b690-8123b249c8c3,MedDevice Innovations,,2022-09-10,2024-01-22
PM,COMPANY,COMP-012,8ca3f80b-7698-5490-a630-c66ae12ce9e4,European Pharma,,2022-12-01,2024-01-15
PM,COMPANY,COMP-009,d5ba9f32-68b9-53c5-bfec-2a9484ef7349,BioTech Ventures,,2023-04-05,2024-01-22
PM,COMPANY,COMP-005,82cf8fd0-6e26-5ae8-81f1-093a1228edf1,FinTech Innovations,,2023-08-15,2024-01-28
PM,COMPANY,INFRA-001,395fce39-6f40-5690-b8df-7aca8a237b15,Infrastructure Debt Portfolio,,2021-02-15,2024-01-18
PM,COMPANY,COMP-013,e29cd83f-31f0-5d42-8b85-b50fd02891d8,AgriTech Solutions,,2022-11-15,2024-01-26
